	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
Phosphate transport regulator (distant homolog of PhoU)	6	39	2459	3309	2935	44	1370	2030	16	1401	35	82	10	876	599	1380	26	1637	32	1806	748	141	1438	2015	864	374	1085	90
Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	768	57925	1370	9230	753	103	104	1462	1056	544	12234	312	20111	234	359	156	55	1069	80	283	432	396	2310	186	205	8713	968	10718
Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	807	37417	663	3519	349	143	136	1173	1429	732	7341	215	14681	175	487	143	38	572	68	299	828	571	919	193	637	6330	573	5134
Phosphate transport system regulatory protein PhoU	2799	93097	507	3975	312	505	222	2119	3159	1708	19944	1716	32346	663	2363	367	324	2383	118	2640	4846	4075	1475	1060	672	10934	1325	11742
Phosphate:acyl-ACP acyltransferase PlsX	2436	5041	1415	1678	2834	350	1289	1298	1695	1279	3078	1637	1853	1802	568	822	38	1123	118	1224	547	76	1964	1162	269	2068	496	2071
Phosphatidate cytidylyltransferase (EC 2.7.7.41)	5247	8264	7155	7444	8497	1259	3808	4412	4006	4010	5399	4172	2975	2689	3715	3484	1205	4718	346	6009	8723	3799	5652	3843	3630	3928	2475	4810
Phosphatidylglycerophosphatase A (EC 3.1.3.27)	1	1	1	2	1	77	1	5	7	59	1	1	2	7	43	6	2	6	1	4	100	43	2	1	4	1	15	1
Phosphatidylglycerophosphatase B (EC 3.1.3.27)	330	1909	262	323	623	292	207	295	250	608	1396	955	914	247	495	705	10	1188	164	232	1340	854	383	1316	778	3093	1356	3071
Phosphatidylinositol-specific phospholipase C (EC 4.6.1.13)	3	3	1	1	2	222	2	139	3	447	1	929	194	170	270	263	1	739	1	143	1647	838	1	3	638	2	107	1
Phosphatidylserine decarboxylase (EC 4.1.1.65)	4	6	3	62	7	276	8	264	26	396	2	3287	6	114	626	958	13	1690	259	299	2925	898	39	4	1864	2	179	3
Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	3067	1964	4231	8657	6990	1110	3699	6485	4246	4559	1582	3119	650	3646	4338	3746	730	5013	253	6898	7071	3506	5608	2288	2621	1035	1617	1488
Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP)	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Phosphocarrier protein of PTS system	66593	47769	72106	65853	56344	5517	38240	27837	45715	34582	17330	4295	16207	28492	14272	21712	251	29502	4041	52846	21531	4028	64142	26224	17394	13166	19583	12700
Phosphocarrier protein, nitrogen regulation associated	0	0	0	0	0	1251	12	672	6	7696	0	2300	3	384	520	3803	0	2068	5	783	2814	662	3	3	1239	0	217	0
Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	7023	6237	958	2841	311	18851	867	7268	3040	14296	4044	64482	6797	13518	21036	18016	94	41042	3769	5095	68881	30722	4903	119	37267	2391	11455	6210
Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	0	0	0	0	1	18	0	0	2	0	0	2	0	11	16	0	0	1	0	0	1	2	5	0	0	0	1	0
Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	8266	3160	136	1491	69	1096	203	1597	7050	1851	2112	734	1599	1124	2032	389	33	1122	141	1572	5791	2468	244	35	1558	3337	932	4199
Phosphoenolpyruvate phosphomutase (EC 5.4.2.9)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoenolpyruvate synthase (EC 2.7.9.2)	2073	1273	327	861	1473	2049	28775	20072	17201	9466	73307	1357	14966	18762	7659	7810	12626	9126	140332	83658	44157	30483	28574	172787	692	214	726	364
Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), ADP-binding subunit DhaL	16	2903	2294	5061	2477	67	819	2992	21	2557	28	39	1257	2569	833	2358	89	5750	116	5668	1596	233	5144	9	352	427	949	147
Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), dihydroxyacetone binding subunit DhaK	8	1057	3785	8049	3351	162	1354	3805	20	3097	44	53	673	3270	1266	3330	92	7564	73	9197	2652	368	8205	10	1080	314	1725	191
Phosphoenolpyruvate-dihydroxyacetone phosphotransferase operon regulatory protein DhaR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	36489	45580	24980	20058	27701	3561	15262	17764	17203	16913	17982	1615	16970	16509	7736	11279	145	12745	1276	20393	8636	2636	32852	12535	6799	37178	15168	41105
Phosphoesterase, DHH family protein	4267	3845	4455	4577	5484	375	2234	3143	2541	2474	2281	192	1390	2057	1880	1957	105	2307	129	3623	1104	307	4961	2713	638	2328	1509	3403
Phosphoethanolamine transferase EptA specific for the 1 phosphate group of core-lipid A	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Phosphoethanolamine transferase specific for the outer Kdo residue of lipopolysaccharide	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Phosphoglucomutase (EC 5.4.2.2)	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Phosphogluconate dehydratase (EC 4.2.1.12)	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
Phosphoglucosamine mutase (EC 5.4.2.10)	8128	10025	13126	16682	12855	2984	8186	10956	7223	14811	4434	1263	3142	11359	6078	6984	1370	9478	250	14336	8242	3314	20508	3884	2446	6791	4615	6181
Phosphoglycerate kinase (EC 2.7.2.3)	17294	34683	38486	39256	45818	14426	23742	30202	27384	42081	15419	21968	12232	46500	21818	18503	892	31447	1607	37930	39436	13033	72028	16169	25012	10140	31029	6721
Phosphoglycerate mutase (EC 5.4.2.1)	14915	59772	53146	42439	60764	10921	29859	31988	18572	38226	26449	19374	19757	33492	14157	15598	345	32138	823	33786	21670	8410	47193	11672	13647	50392	19098	68403
Phosphoglycerate transporter protein PgtP	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	16	4	0	0	1	0
Phosphoglycerol transferase I (EC 2.7.8.20)	3	7	5	258	4	564	4	726	16	322	6	383	4	315	383	274	668	807	134	457	1020	463	98	3	463	1	195	2
Phosphoglyceromutase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoglycolate phosphatase (EC 3.1.3.18)	110	1832	841	1740	23	4186	18	3588	473	2466	1179	1130	353	2833	5171	1359	2647	3122	113	1948	3817	2424	1163	24	1345	4864	4351	6020
Phosphoglycolate phosphatase, archaeal type (EC 3.1.3.18)	1	0	0	0	0	5	0	3	0	2	0	4	0	0	0	0	8	0	0	0	0	1	1	0	10	0	0	0
Phosphoheptose isomerase (EC 5.3.1.-)	1	2	2	2	2	132	1	2	17	17	1	1	1	1	1	1	1	2	4	2	9	3	2	1	2	1	1	1
Phosphoheptose isomerase 1 (EC 5.3.1.-)	8	9	3	974	3	434	4	1516	16	1062	2	324	1	771	654	325	2154	815	18	1377	1389	775	124	1	220	2	646	3
Phosphohistidine phosphatase SixA	28	2	4	149	1	7	1	196	355	29	1	96	1	23	147	33	2	245	13	142	380	228	14	1	258	1	31	1
Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Phospholipase/carboxylesterase family protein, sll1284 homolog	3	0	0	0	0	3	0	3	0	0	0	0	0	12	0	1	0	6	0	2	15	91	0	0	0	0	8	0
Phospholipid-lipopolysaccharide ABC transporter	1	1197	74	9	10	17	35	32	306	39	653	64	507	14	17	8	2	27	4	17	36	53	82	4	3	472	250	557
Phosphomannomutase (EC 5.4.2.8)	28	56	31	289	30	991	26	868	129	1691	29	4688	29	313	1834	1939	23	2591	326	478	6295	2625	76	25	1720	27	331	21
Phosphomethylpyrimidine kinase (EC 2.7.4.7)	504	21115	169	1244	928	1170	224	1542	999	1327	617	595	2935	900	1572	525	1856	1431	195	1654	2103	1426	778	3005	333	1471	700	2109
Phosphomevalonate kinase (EC 2.7.4.2)	1655	1863	2667	2272	3411	805	1398	1651	1566	2038	1328	56	844	1568	618	831	18	720	88	1487	801	124	2780	664	368	1544	904	1548
Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	662	12393	1032	202	4534	62	495	21	2756	89	7744	54	6482	57	19	115	10	32	23	22	42	28	882	1466	5	2634	984	6184
Phosphonate ABC transporter permease protein phnE (TC 3.A.1.9.1)	1	0	0	1	0	5	1	0	2	3	0	2	0	1	1	1	0	1	0	1	3	1	0	0	0	0	0	0
Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)	433	5434	492	81	2294	12	311	5	1539	9	4098	13	2915	13	6	1	4	3	6	8	5	4	472	652	7	4682	1453	13117
Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	493	5351	527	193	4202	14	403	8	2129	40	3388	14	2758	29	12	12	6	12	6	8	12	14	365	1998	6	4847	1053	10749
Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)	2296	37718	1344	327	5527	205	1572	24	5350	63	10371	70	14174	142	20	25	15	47	20	38	68	25	1764	4952	31	14827	4028	34731
Phosphonates transport ATP-binding protein PhnK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphonates transport ATP-binding protein PhnL	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	1176	4238	1673	8074	2207	5747	1709	14101	1852	9610	2528	9493	1220	6511	6967	3842	12874	11075	213	11405	13765	9743	1878	749	1742	1260	2485	1345
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	130867	4895	741615	514348	835572	12021	466603	504283	43461	474720	13450	14385	2184	675891	579458	594483	3325	683821	2538	946286	260869	64439	1567930	4051	1479	764	960	752
Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0
Phosphopentomutase (EC 5.4.2.7)	6	14	10	217	7	440	8	901	32	299	8	186	9	324	704	152	684	479	139	440	585	358	72	7	190	98	272	113
Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	4	2	1	3	1	1	1	1	1	1
Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	110	7	99	1442	4	13	5	400	1291	28	3	332	5	51	827	62	9	21	40	740	817	859	153	10	102	3	7	4
Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	34	435	27	1102	14	1439	12	3636	298	1402	78	2001	197	904	2383	1162	756	4790	100	1286	4061	1631	101	12	1430	155	897	296
Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	169	7	32	3521	5	57	4	6811	1882	436	16	368	6	252	1337	274	6	1362	17	1039	2023	1897	49	25	666	31	93	25
Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	215	38	28	2547	26	2349	13	2434	1699	3326	16	3166	19	1693	1848	1217	88	4344	115	1360	4167	2803	123	31	2551	26	2150	18
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	427	47	73	10372	25	2711	21	12444	5876	5354	21	7542	19	3582	6917	3366	1785	10275	222	5626	16825	9356	209	30	4947	21	1599	27
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	48	22	23	2565	9	1025	9	4572	445	1092	9	3481	14	567	3134	1240	1408	3105	174	1503	7176	3319	78	9	2590	45	514	40
Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	2	9	1	313	2	58	3	248	18	584	1	1288	5	104	106	894	211	694	53	835	2320	774	12	1	500	1	50	2
Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	1	1	1	1	1	1	1	2	1	3	1	1	1	4	9	1	1	2	1	1	4	3	36	2	2	1	1	1
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	77	15	19	1372	6	1310	8	3217	369	1242	7	1636	12	757	1590	766	526	5031	123	1215	3874	2008	61	6	1608	17	430	13
Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	53	15	15	1540	8	1052	9	1491	699	1053	12	2198	8	654	2088	843	688	2915	96	1021	4428	2514	110	8	1449	25	537	13
Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)	1	1	1	1	1	6	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	24	42	36	57
Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	0	0	0	2	1	1	0	0	1	1	1	0	4	0	0	0	0	1	0	0	0	0	1	0	27	29	22	28
Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	3	9	5	404	6	553	3	849	16	408	3	103	5	293	822	167	528	842	10	656	811	302	35	4	230	16	317	26
Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)	25	4	5	448	2	16	1	346	443	133	2	1255	3	49	534	378	2	872	26	300	2171	823	20	1	736	2	141	1
Phosphoribulokinase (EC 2.7.1.19) homolog, function unknown	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Phosphoserine aminotransferase (EC 2.6.1.52)	26	75	78	669	20	1710	25	670	809	1060	18	20887	27	5630	6468	4069	338	5486	250	1917	17168	7519	259	28	1043	5	1349	2
Phosphoserine phosphatase (EC 3.1.3.3)	51	20	15	423	6	551	7	450	360	838	19	837	8	389	331	285	14	533	36	242	621	380	23	6	193	4	271	4
Phosphosugar-binding transcriptional repressor, RpiR family	481	0	0	0	13	0	74	0	93	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
phosphotransbutyrylase (EC 2.3.1.19)	0	0	0	0	0	0	0	0	0	1	0	2	1082	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Phosphotransferase system for xylose-containing disaccharide, EIIB component	0	0	0	0	0	10	0	14	0	154	0	50	4	0	115	0	0	16	0	0	5	2	0	0	0	0	33	0
Phosphotransferase system for xylose-containing disaccharide, EIIC component	239	5	4	6229	400	46	26	2120	945	128	22	35	13	360	489	921	2	473	3	3	11	83	2600	5	617	3	572	3
Phosphotransferase system for xylose-containing disaccharide, EIID component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Phosphotransferase system, phosphocarrier protein HPr	1	1	4	1	1	1	1	1	9	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
photosystem I assembly related protein Ycf3	0	0	0	0	0	214	0	62	0	73	0	32	0	15	0	0	0	0	0	37	0	25	0	1	0	0	0	0
Phytoene desaturase (EC 1.14.99.-)	76	24	30	2805	11	60	10	1229	94	406	13	1970	12	273	2770	616	10	1588	59	1284	3057	2908	82	7	2460	1	98	3
Pimeloyl-CoA synthase (EC 6.2.1.14)	1	1	1	67	1	1	1	53	1	5	1	3	2	18	2	5	6	65	1	49	3	12	71	1	4	1	1	1
Pirin-like protein YhaK	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
Pirin-related protein, coexpressed with pyoverdine biosynthesis regulon	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0
Plasmin(ogen) receptor	1	0	0	1	1	42	1	23	2	247	0	88	0	22	11	75	0	64	12	17	160	59	4	0	0	0	0	0
Poly-gamma-glutamate synthase subunit PgsA/CapA (EC 6.3.2.-)	3	3	1	2	1	21	1	11	7	10	1	4	1	13	3	4	4	8	28	33	3	2	15	1	4	1	2	1
Poly(3-hydroxyalkanoate) depolymerase	0	2	0	0	0	2	0	2	2	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poly(A) polymerase (EC 2.7.7.19)	3	6	4	2	2	6273	4	12	11	132	1	2622	4	1549	243	161	2	2108	0	9	220	32	6	2	0	0	0	0
Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	520	1797	1695	1412	1713	421	1347	1054	488	1452	803	2867	548	862	1489	1336	9	1585	62	1325	2746	1066	1469	1574	537	762	566	1376
Poly(glycerol-phosphate) alpha-glucosyltransferase GftA (EC 2.4.1.52)	0	0	0	0	2	1	0	0	2	0	3	1	0	0	0	0	0	0	15	0	0	0	0	2	0	0	1	1
Poly(glycerophosphate chain) D-alanine transfer protein DltD	4577	18852	7028	6154	13723	30	4726	4006	4370	3428	9395	57	6821	3307	1235	2749	23	3694	164	3187	2816	303	7067	8124	1274	18739	4047	24061
Polyferredoxin NapH (periplasmic nitrate reductase)	0	1	2	1	1	16	0	1	4	5	0	8	1	1	1	10	1	1	1	2	9	4	1	0	33	1	13	1
Polygalacturonase (EC 3.2.1.15)	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polyhydroxyalkanoic acid synthase	0	7	1	0	0	33	1	2	25	28	0	45	0	111	4	0	1	0	0	0	4	13	0	0	4	0	10	0
Polymyxin resistance protein ArnA_FT, UDP-4-amino-4-deoxy-L-arabinose formylase (EC 2.1.2.-)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase	2	1	1	29	2	116	1	53	5	36	1	17	1	50	177	35	114	71	1	45	119	58	32	1	52	1	107	1
Polymyxin resistance protein PmrD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Polymyxin resistance protein PmrG	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polymyxin resistance protein PmrJ, predicted deacetylase	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Polymyxin resistance protein PmrL, sucrose-6 phosphate hydrolase	1	1	3	1	3	42	1	42	1	187	1	255	3	1	200	580	1	597	3	74	1135	507	3	1	766	1	50	1
Polymyxin resistance protein PmrM	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polymyxin transporter PmxC	8	10	28	5	4	5	1	78	4	12	2	730	6	10	1536	4	3	18	9	1452	4300	2843	130	5	0	0	0	0
Polyphosphate glucokinase (EC 2.7.1.63)	489	37	67	10405	23	870	17	9894	6193	2815	20	7416	19	2815	8310	2772	16	8526	40	9591	20585	12100	310	27	5763	5	6731	7
Polyphosphate kinase (EC 2.7.4.1)	222	21	29	1765	10	607	10	2686	3315	863	12	1725	5	718	3328	512	869	1848	43	1721	5033	3820	172	25	715	21	494	29
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	255	78	55	2173	29	6862	33	4455	1832	7187	26	15027	41	3894	5394	4833	2948	12324	514	3757	20292	10882	254	30	7580	9	2372	7
Polysaccharide biosynthesis glycosyl transferase CpsJ	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	0	1	0	2	0	0	0	0	0
Polysaccharide biosynthesis glycosyl transferase CpsN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0
Polysaccharide biosynthesis glycosyl transferase CpsO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	50	0	0	0	0	0	0	0	0	0
Polysaccharide biosynthesis protein CpsF	2648	546	1	3	1	1	1	5	11	3	2006	2	527	3	7	2	3	7	76	3	2	3	3	3	2	494	2	2
Polysaccharide biosynthesis protein CpsH(V)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0
Polysaccharide biosynthesis protein CpsM(V)	1490	2	0	2	0	3	0	3	1	3	1	2	0	0	3	2	0	4	143	0	0	2	110	0	0	3	0	1113
Polysaccharide deacetylase	22	45	9	87	6	180	7	198	35	602	20	1691	26	693	510	619	19	1259	199	126	2975	892	127	4	732	5	175	5
Polysaccharide export lipoprotein Wza	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0
Polysaccharide intercellular adhesin (PIA) biosynthesis protein IcaC	0	0	1	0	0	4	0	1	0	7	0	2	0	88	414	1	0	0	1	0	0	0	0	0	0	0	40	0
Porphobilinogen deaminase (EC 2.5.1.61)	1	1	1	2	1	32	2	1	11	2	1	3	9	3	2	1	1	1	2	1	2	1	175	1	1	1	1	1
Porphobilinogen synthase (EC 4.2.1.24)	1	1	1	2	2	113	1	3	16	36	2	9	12	27	18	5	2	10	1	6	11	27	119	1	2	2	2	2
Positive regulator of CheA protein activity (CheW)	0	0	0	0	0	501	9	86	0	876	0	7312	4	3499	1	2	4	1	7	0	4	1	2	0	1	1	1	1
Positive transcription regulator EvgA	0	0	0	0	0	3	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0
Possible ABC transporter, periplasmic substrate X binding protein precursor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Possible alpha-xyloside ABC transporter, permease component	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Possible alpha-xyloside ABC transporter, substrate-binding component	0	0	0	0	0	12	1	549	1	11	0	0	1	4	0	0	0	29	1	0	1	0	0	0	1	0	0	0
Possible alpha/beta hydrolase superfamily, slr1916 homolog	0	1	0	0	0	28	0	1	5	22	0	11	2	40	2	0	0	0	0	0	1	0	0	0	0	0	6	0
Possible colicin V production protein	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
Possible divergent polysaccharide deacetylase	0	0	0	0	0	0	1	0	1	1	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0
Possible hydrolase or acyltransferase RutD in novel pyrimidine catabolism pathway	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Possible hypoxanthine oxidase XdhD (EC 1.-.-.-)	1	1	0	2	0	9	0	4	1	21	0	175	1	80	1	1	1	3	0	1	2	0	89	0	0	0	0	0
Possible pyrimidine permease in reductive pathway	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0
Potassium channel protein	1	2	1	1	1	6	1	3	7	8	1	52	1	49	1	1	4	1	1	1	2	2	4	1	1	1	2	1
Potassium efflux system KefA protein	978	273	1267	1843	1666	144	1165	1257	344	755	214	205	65	970	705	1059	174	1083	78	1664	879	302	2141	391	592	184	1119	353
Potassium uptake protein TrkH	6	15	8	752	8	537	9	861	23	680	7	783	5	557	887	517	1032	828	75	853	1689	1025	61	288	644	3	293	3
Potassium uptake protein, integral membrane component, KtrA	5	4	2	2	2	1597	2	41	16	1385	2	138	2	537	35	102	5	165	25	27	126	25	43	3	4	4	229	3
Potassium uptake protein, integral membrane component, KtrB	2	104	8	3	2	696	2	12	29	856	31	194	17	276	45	86	4	89	34	36	76	10	40	8	3	2	232	2
Potassium voltage-gated channel subfamily KQT	1101	848	57	1	58	2	87	3	651	2	923	2	430	1	4	2	2	1	4	4	2	2	98	17	2	313	53	426
Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	1	1	0	5	1	0	0	0	17	1	0	0	0	0	1	0	1	0	2	0	2	0	1	0	0	0	0	1
Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	1	1	0	5	0	1	0	0	7	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0
Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	2	1	1	20	1	2	3	1	8	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
POTASSIUM/PROTON ANTIPORTER ROSB	1	0	1	15	0	3	1	80	5	83	0	161	1	6	82	210	1	343	18	37	567	210	4	0	243	1	21	0
Precorrin-2 oxidase (EC 1.3.1.76)	1	1	2	1	1	5	1	1	5	10	1	11	1	3	5	5	1	2	1	1	1	3	25	1	1	1	1	1
Predicted aldo/keto reductase in CelR regulon, COG4989	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Predicted amidohydrolase RutB in novel pyrimidine catabolism pathway	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Predicted amino-acid acetyltransferase (EC 2.3.1.1) complementing ArgA function in Arginine Biosynthesis pathway	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Predicted arginine uptake transporter	0	2	1	1	1	8	1	1	20	1	0	1	18	2	4	1	2	2	18	1	3	1	1	1	2	1	3	1
Predicted ATPase related to phosphate starvation-inducible protein PhoH	0	1	0	0	0	77	0	0	0	2	0	53	0	3	3	0	0	0	0	1	1	0	0	0	1	0	0	0
Predicted biotin repressor from TetR family	4	1	1	1	1	1	1	3	2	1	0	2	1	1	3	1	3	3	0	3	5	5	1	1	5	3	1	6
Predicted cell-wall-anchored protein SasA (LPXTG motif)	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	1	0	1	0	0	5	2	1	0	0	0	0	0
Predicted cell-wall-anchored protein SasD (LPXAG motif)	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Predicted cell-wall-anchored protein SasF (LPXAG motif)	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Predicted chaperone lipoprotein YacC, potentially involved in protein secretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Predicted chitobiose ABC transport system II, sugar-binding protein	6	1	1	0	0	0	0	2	74	1	0	2	0	1	43	1	0	8	1	19	81	1	2	0	2	0	3	0
Predicted cobalt ABC transporter periplasmic component	5	8	5	3	1	6069	8	1294	5	12733	4	3048	5	5984	1740	2390	7	3876	7	2076	3815	2389	20	6	1098	2	1473	2
Predicted cobalt transporter in Bacteroides_Porphyromonas	5	11	10	102	4	183	5	210	38	739	4	1721	5	84	500	744	3	888	154	128	2742	990	35	4	1055	2	251	2
Predicted D-glucarate or D-galactorate regulator, GntR family	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
Predicted D-lactate dehydrogenase, Fe-S protein, FAD/FMN-containing	1	1	1	3	1	36	108	6	2	74	1	18	1	41	6	31	2	40	1	19	30	6	30	1	4	1	87	1
